,Mon,Tue,Wed,Thu,Fri,omega1
522,1.0,0.0,1.0,1.0,0.0,0.522
523,1.0,0.0,1.0,1.0,0.0,0.523
524,0.0,1.0,0.0,1.0,1.0,0.524
525,0.0,1.0,0.0,1.0,0.0,0.525
526,0.0,1.0,0.0,1.0,1.0,0.526
527,1.0,1.0,0.0,1.0,0.0,0.527
528,0.0,1.0,1.0,0.0,1.0,0.528
529,1.0,0.0,1.0,1.0,0.0,0.529
530,1.0,0.0,1.0,1.0,0.0,0.53
531,0.0,1.0,1.0,0.0,1.0,0.531
532,1.0,0.0,1.0,0.0,1.0,0.532
